PAPEL,COTACAO,P/L,P/VP,PSR,DIV_YIELD,P/ATIVO,P/CAP_GIRO,P/EBIT,P/ATIV_CIRC_LIQ,EV/EBIT,EV/EBITDA,MRG_EBIT,MRG_LIQ,LIQ_CORR,ROIC,ROE,LIQ_2MESES,PATRIM_LIQ,DIV_BRUT/PATRIM,CRESC_REC_5A
BALM4,"9,80","12,73","0,80",671,"4,18%",442,"1,07","6,56","1,78","5,41","4,40","10,23%","4,31%","2,57","8,74%","6,31%","6.488,34","119.668.000,00","0,20","8,74%"
CPLE5,"26,40","12,76","3,35","3,159","5,20%","1,450","32,98","18,50","-4,54","19,94","15,74","17,07%","25,25%","1,22","9,27%","26,26%","1.762,15","21.564.100.000,00","0,49","12,70%"
GMAT3,"4,44","12,93","1,53",618,"0,00%",985,"2,12","10,06","3,51","11,20","8,81","6,14%","4,84%","3,80","12,16%","11,85%","31.338.900,00","6.403.190.000,00","0,31","40,56%"
MRSA5B,"33,00","13,04","2,27","2,582","0,96%",883,"26,55","8,88","-2,18","10,42","5,75","29,07%","19,79%","1,19","12,32%","17,39%","168,29","4.946.430.000,00","0,81","4,07%"
MRSA5B,"33,00","13,04","2,27","2,582","0,96%",883,"26,55","8,88","-2,18","10,42","5,75","29,07%","19,79%","1,19","12,32%","17,39%","168,29","4.946.430.000,00","0,81","4,07%"
ECOR3,"6,99","13,08","2,30","1,046","0,00%",297,"-3,27","3,12","-0,42","8,08","5,60","33,56%","7,90%","0,64","11,20%","17,55%","42.735.900,00","2.120.310.000,00","4,71","10,30%"
FLRY3,"17,27","13,12","3,03","1,452","1,32%",899,"7,53","7,65","-2,30","10,52","6,88","18,98%","11,10%","1,62","14,80%","23,06%","35.994.300,00","1.814.990.000,00","1,67","10,94%"
MERC4,"9,70","13,22","0,68",0,"4,94%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","5,14%","20.907,40","257.129.000,00","0,00","-36,36%"
LCAM3,"24,02","13,23","2,56","1,861","1,70%",804,"25,68","7,32","-1,66","11,07","8,46","25,44%","14,06%","1,19","13,84%","19,35%","65.226.700,00","4.772.960.000,00","1,69","59,06%"
WLMM4,"34,00","13,25","2,33",715,"2,23%","1,901","4,97","10,93","6,30","9,51","9,20","6,54%","5,39%","4,65","24,33%","17,62%","51.878,50","530.316.000,00","0,01","35,45%"
GRND3,"8,84","13,27","1,95","3,404","9,79%","1,751","2,98","19,62","3,07","16,87","13,84","17,35%","25,66%","8,02","12,79%","14,68%","13.170.900,00","4.094.330.000,00","0,05","-1,28%"
BRBI11,"18,00","13,63","2,46","8,341","0,00%",620,"2,41","17,93","2,59","9,18","9,05","46,53%","61,19%","1,35","246,07%","18,07%","3.903.480,00","767.206.000,00","2,65","-81,48%"
FRAS3,"13,34","13,74","2,65","1,124","2,25%",942,"3,69","8,96","-7,97","10,85","8,03","12,54%","8,16%","1,95","13,65%","19,28%","3.667.980,00","1.095.570.000,00","0,89","30,27%"
VIVT3,"51,49","13,95","1,25","1,977","6,76%",753,"-62,23","17,27","-3,54","19,35","5,71","11,45%","14,15%","0,94","4,94%","8,92%","102.843.000,00","69.927.200.000,00","0,24","0,30%"
VLID3,"10,12","13,98","0,66",380,"2.855,04%",269,"1,77","4,20","-1,80","8,38","4,73","9,04%","2,63%","1,55","8,08%","4,74%","6.978.890,00","1.258.800.000,00","1,01","8,10%"
MELK3,"3,63","14,07","0,64","1,105","7,81%",383,"0,69","11,90","0,76","3,86","3,62","9,29%","9,23%","2,69","4,53%","4,56%","1.639.880,00","1.177.750.000,00","0,03","0,00%"
AESB3,"10,80","14,20","1,65","2,719","1,73%",449,"10,10","35,96","-0,97","66,44","18,73","7,56%","21,72%","1,29","1,51%","11,61%","12.081.100,00","3.223.070.000,00","1,93","0,00%"
MRSA6B,"36,00","14,23","2,47","2,816","0,88%",963,"28,96","9,69","-2,38","11,23","6,20","29,07%","19,79%","1,19","12,32%","17,39%","87,80","4.946.430.000,00","0,81","4,07%"
MRSA6B,"36,00","14,23","2,47","2,816","0,88%",963,"28,96","9,69","-2,38","11,23","6,20","29,07%","19,79%","1,19","12,32%","17,39%","87,80","4.946.430.000,00","0,81","4,07%"
BLAU3,"25,97","14,33","2,85","3,410","0,96%","2,001","3,44","10,04","4,64","8,86","8,47","33,97%","23,70%","4,95","36,02%","19,88%","8.607.420,00","1.636.290.000,00","0,23","22,15%"
SOND6,"35,86","14,50","1,46","1,228","23,49%","1,017","3,09","15,31","4,56","10,75","8,26","8,02%","8,46%","2,68","9,60%","10,04%","687,66","60.518.000,00","0,00","9,12%"
BSLI3,"24,37","14,56","3,40",0,"5,31%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","23,36%","16.027,30","2.601.550.000,00","0,00","1,93%"
SOND5,"36,00","14,56","1,46","1,232","23,40%","1,021","3,11","15,37","4,57","10,81","8,30","8,02%","8,46%","2,68","9,60%","10,04%","3.090,59","60.518.000,00","0,00","9,12%"
AURA33,"49,60","14,60","2,31","1,461","13,28%","1,061","5,00","4,04","-13,17","4,01","4,01","36,18%","10,01%","1,86","43,06%","15,82%","9.285.270,00","1.519.430.000,00","0,58","63,49%"
BPAC11,"24,46","14,90","2,51",0,"1,57%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","16,84%","338.283.000,00","37.379.700.000,00","0,00","36,32%"
EQPA3,"6,42","15,09","3,93","1,906","4,83%","1,108","6,93","8,12","-4,09","9,32","7,82","23,48%","12,63%","1,56","18,92%","26,05%","59.658,90","3.607.190.000,00","1,30","8,38%"
BPAN4,"9,75","15,17","2,03",0,"2,30%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","13,36%","74.418.800,00","5.798.630.000,00","0,00","13,64%"
CBAV3,"19,03","15,26","2,52","1,346","0,00%",948,"4,94","9,12","-4,06","10,22","7,30","14,76%","9,95%","2,06","13,06%","16,51%","51.228.200,00","4.500.800.000,00","0,70","55,66%"
PRIO3,"23,16","15,33","3,09","4,650","0,00%","1,673","4,07","9,30","40,47","8,96","6,42","49,98%","30,32%","5,62","30,19%","20,14%","644.152.000,00","6.620.250.000,00","0,59","65,27%"
ENMT3,"81,75","15,51","6,42","2,609","3,76%","1,621","32,09","10,25","-3,43","12,49","10,93","25,44%","16,82%","1,23","17,66%","41,39%","234.923,00","2.788.090.000,00","1,56","13,50%"
ENMT4,"81,79","15,52","6,42","2,610","3,76%","1,622","32,11","10,26","-3,43","12,50","10,93","25,44%","16,82%","1,23","17,66%","41,39%","1.183,10","2.788.090.000,00","1,56","13,50%"
RAIZ4,"6,34","15,52","3,21",310,"0,00%",625,"8,12","9,37","-2,03","14,03","8,42","3,31%","2,03%","1,18","8,31%","20,66%","62.165.400,00","20.468.800.000,00","1,84","0,00%"
EQPA7,"6,62","15,56","4,05","1,966","4,68%","1,143","7,14","8,37","-4,21","9,57","8,03","23,48%","12,63%","1,56","18,92%","26,05%","80,59","3.607.190.000,00","1,30","8,38%"
HYPE3,"33,68","16,04","2,17","3,593","3,66%","1,076","5,74","11,18","-6,11","13,84","12,93","32,14%","22,41%","2,34","11,09%","13,54%","105.285.000,00","9.826.590.000,00","0,75","11,32%"
